Stock,Shares,Est_Acquisition_Cost,Book_Value,Carrying_Cost,Market_Value,Acquisition_Cost_per_Share,Carrying_Cost_per_Share,Month_End_Close,Year_End_Close,Closing Price,Acquisition_Return,Return,Weights,Target Return,Target Weights
SMC,4334872,411835227.6,340287452,367594214,346789760,95.00516454,84.79932372,78.5,86,80,-15.79%,-5.66%,1.51%,1.98%,1.62%
MEG,69769000,202146228.2,124188820,143026450,122095750,2.897364563,2.05,1.78,2.05,1.75,-39.60%,-14.63%,0.53%,48.57%,0.57%
TEL,686335,947871556.9,892235500,891539345,865468435,1381.062538,1298.985692,1300,1295,1261,-8.69%,-2.92%,3.77%,35.67%,4.05%
NIKL,31076500,164111881.9,79245075,108456985,78623545,5.280899777,3.49,2.55,3.49,2.53,-52.09%,-27.51%,0.34%,-10.49%,0.34%
AGI,59964100,569325824.9,366980292,502967054,482711005,9.494444591,8.387802935,6.12,9,8.05,-15.21%,-4.03%,2.10%,25.47%,1.60%
SECB,1840080,207464325.2,122273316,160086960,117765120,112.7474486,87,66.45,87,64,-43.24%,-26.44%,0.51%,69.53%,0.60%
AEV,17938620,757207914,583005150,611028067,649378044,42.211046,34.06215567,32.5,34.35,36.2,-14.24%,6.28%,2.83%,38.40%,2.59%
MONDE,41209000,386302905.3,320606020,354397400,277336570,9.374236339,8.6,7.78,8.6,6.73,-28.21%,-21.74%,1.21%,6.21%,1.37%
EMI,23592900,439499748.7,308123274,426087774,326053878,18.62847504,18.06,13.06,18.06,13.82,-25.81%,-23.48%,1.42%,-3.43%,1.33%
ALI,32081100,911575401,803631555,816335220,769946400,28.41471773,25.44598595,25.05,26.2,24,-15.54%,-5.68%,3.36%,55.28%,2.79%
UBP,9722152,472532028.5,314025509.6,349997472,322289338.8,48.60364541,36,32.3,36,33.15,-31.80%,-7.92%,1.41%,26.80%,1.47%
URC,7900350,861031445.6,653753962.5,610691150,679430100,108.9864937,77.29925256,82.75,79,86,-21.09%,11.26%,2.96%,9.59%,2.54%
AC,1685410,1158224530,1010403295,1004099810,969953455,687.2063946,595.7599694,599.5,599,575.5,-16.26%,-3.40%,4.23%,42.66%,4.27%
WLCON,17168200,316632717.4,117087124,245505260,103695928,18.44297698,14.3,6.82,14.3,6.04,-67.25%,-57.76%,0.45%,49.01%,0.62%
SMPH,32293100,991913777.8,786336985,801005215,741126645,30.7159665,24.8042218,24.35,25.15,22.95,-25.28%,-7.48%,3.23%,48.24%,3.15%
ACEN,166140650,684815074.4,443595535.5,607360320,415351625,4.121899574,3.655699674,2.67,4,2.5,-39.35%,-31.61%,1.81%,70.67%,1.83%
